n_hor,n_ver,n_tot,eta,S
30,295,325,0.63476562,-0.81538462
50,288,338,0.66015625,-0.70414201
54,286,340,0.6640625,-0.68235294
62,267,329,0.64257812,-0.6231003
78,257,335,0.65429688,-0.53432836
95,223,318,0.62109375,-0.40251572
56,266,322,0.62890625,-0.65217391
23,294,317,0.61914062,-0.85488959
18,313,331,0.64648438,-0.89123867
14,321,335,0.65429688,-0.91641791
1,350,351,0.68554688,-0.99430199
1,332,333,0.65039062,-0.99399399
5,327,332,0.6484375,-0.96987952
4,327,331,0.64648438,-0.97583082
48,280,328,0.640625,-0.70731707
17,323,340,0.6640625,-0.9
5,326,331,0.64648438,-0.96978852
3,326,329,0.64257812,-0.98176292
18,321,339,0.66210938,-0.89380531
1,329,330,0.64453125,-0.99393939
5,326,331,0.64648438,-0.96978852
9,325,334,0.65234375,-0.94610778
11,311,322,0.62890625,-0.93167702
8,334,342,0.66796875,-0.95321637
5,324,329,0.64257812,-0.96960486
17,310,327,0.63867188,-0.89602446
25,298,323,0.63085938,-0.84520124
25,294,319,0.62304688,-0.84326019
13,320,333,0.65039062,-0.92192192
10,341,351,0.68554688,-0.94301994
36,294,330,0.64453125,-0.78181818
5,329,334,0.65234375,-0.97005988
2,335,337,0.65820312,-0.98813056
2,339,341,0.66601562,-0.98826979
7,334,341,0.66601562,-0.95894428
2,331,333,0.65039062,-0.98798799
4,325,329,0.64257812,-0.97568389
19,306,325,0.63476562,-0.88307692
15,312,327,0.63867188,-0.90825688
13,327,340,0.6640625,-0.92352941
0,335,335,0.65429688,-1
13,321,334,0.65234375,-0.92215569
2,338,340,0.6640625,-0.98823529
13,324,337,0.65820312,-0.92284866
12,326,338,0.66015625,-0.92899408
26,315,341,0.66601562,-0.84750733
1,340,341,0.66601562,-0.9941349
7,331,338,0.66015625,-0.95857988
18,309,327,0.63867188,-0.88990826
0,341,341,0.66601562,-1
2,331,333,0.65039062,-0.98798799
22,304,326,0.63671875,-0.86503067
28,300,328,0.640625,-0.82926829
28,304,332,0.6484375,-0.8313253
8,330,338,0.66015625,-0.95266272
14,313,327,0.63867188,-0.91437309
5,324,329,0.64257812,-0.96960486
7,326,333,0.65039062,-0.95795796
16,323,339,0.66210938,-0.90560472
52,275,327,0.63867188,-0.68195719
32,291,323,0.63085938,-0.80185759
29,299,328,0.640625,-0.82317073
25,306,331,0.64648438,-0.8489426
24,308,332,0.6484375,-0.85542169
6,326,332,0.6484375,-0.96385542
21,315,336,0.65625,-0.875
4,313,317,0.61914062,-0.97476341
23,324,347,0.67773438,-0.86743516
19,310,329,0.64257812,-0.88449848
30,297,327,0.63867188,-0.81651376
58,261,319,0.62304688,-0.63636364
81,242,323,0.63085938,-0.49845201
41,279,320,0.625,-0.74375
4,325,329,0.64257812,-0.97568389
16,320,336,0.65625,-0.9047619
7,320,327,0.63867188,-0.95718654
16,323,339,0.66210938,-0.90560472
8,337,345,0.67382812,-0.95362319
12,317,329,0.64257812,-0.92705167
37,294,331,0.64648438,-0.77643505
32,298,330,0.64453125,-0.80606061
26,320,346,0.67578125,-0.84971098
26,307,333,0.65039062,-0.84384384
30,296,326,0.63671875,-0.81595092
16,327,343,0.66992188,-0.90670554
14,323,337,0.65820312,-0.91691395
27,308,335,0.65429688,-0.83880597
65,264,329,0.64257812,-0.60486322
38,301,339,0.66210938,-0.77581121
32,303,335,0.65429688,-0.80895522
66,260,326,0.63671875,-0.59509202
69,258,327,0.63867188,-0.57798165
42,281,323,0.63085938,-0.73993808
84,251,335,0.65429688,-0.49850746
7,321,328,0.640625,-0.95731707
16,327,343,0.66992188,-0.90670554
2,324,326,0.63671875,-0.98773006
15,314,329,0.64257812,-0.90881459
1,329,330,0.64453125,-0.99393939
4,334,338,0.66015625,-0.97633136
0,338,338,0.66015625,-1
34,299,333,0.65039062,-0.7957958
9,308,317,0.61914062,-0.94321767
10,321,331,0.64648438,-0.93957704
11,328,339,0.66210938,-0.93510324
8,337,345,0.67382812,-0.95362319
6,327,333,0.65039062,-0.96396396
15,327,342,0.66796875,-0.9122807
19,310,329,0.64257812,-0.88449848
58,272,330,0.64453125,-0.64848485
11,321,332,0.6484375,-0.93373494
13,321,334,0.65234375,-0.92215569
1,337,338,0.66015625,-0.99408284
3,329,332,0.6484375,-0.98192771
25,312,337,0.65820312,-0.85163205
7,330,337,0.65820312,-0.95845697
5,335,340,0.6640625,-0.97058824
0,326,326,0.63671875,-1
3,336,339,0.66210938,-0.98230088
9,328,337,0.65820312,-0.94658754
21,309,330,0.64453125,-0.87272727
3,332,335,0.65429688,-0.98208955
13,308,321,0.62695312,-0.91900312
40,300,340,0.6640625,-0.76470588
18,318,336,0.65625,-0.89285714
5,329,334,0.65234375,-0.97005988
17,322,339,0.66210938,-0.89970501
2,345,347,0.67773438,-0.98847262
7,329,336,0.65625,-0.95833333
1,327,328,0.640625,-0.99390244
19,318,337,0.65820312,-0.88724036
4,331,335,0.65429688,-0.9761194
27,303,330,0.64453125,-0.83636364
21,312,333,0.65039062,-0.87387387
2,340,342,0.66796875,-0.98830409
7,323,330,0.64453125,-0.95757576
23,312,335,0.65429688,-0.86268657
2,340,342,0.66796875,-0.98830409
15,295,310,0.60546875,-0.90322581
31,299,330,0.64453125,-0.81212121
26,307,333,0.65039062,-0.84384384
