beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.3,0.4,0.680119,-0.0425439,0.0425439,1.73396e-05
0.3,0.45,0.670671,-0.0490295,0.0490295,2.24116e-05
0.3,0.5,0.66135,-0.0549854,0.0549854,2.02374e-05
0.3,0.55,0.654228,-0.0590881,0.0590881,1.71491e-05
0.3,0.6,0.646695,-0.0647864,0.0647864,2.12457e-05
0.3,0.65,0.633553,-0.0698157,0.0698157,2.10438e-05
0.3,0.7,0.621527,-0.0759851,0.0759851,2.64172e-05
0.3,0.75,0.611438,-0.0814355,0.0814355,2.44985e-05
0.3,0.8,0.598568,-0.0859082,0.0859082,1.75522e-05
0.3,0.85,0.585379,-0.0918396,0.0918396,2.1145e-05
0.3,0.9,0.569681,-0.0977417,0.0977417,2.68349e-05
0.3,0.95,0.554797,-0.101951,0.101951,2.50544e-05
0.35,-1,0.6965,0.105441,0.105441,3.86818e-05
0.35,-0.95,0.718461,0.0993384,0.0993384,4.09582e-05
0.35,-0.9,0.731007,0.0944653,0.0944653,3.84996e-05
0.35,-0.85,0.75037,0.0885291,0.0885291,3.58421e-05
0.35,-0.8,0.767745,0.0830835,0.0830835,3.19406e-05
0.35,-0.75,0.778264,0.0784473,0.0784473,3.1393e-05
0.35,-0.7,0.794751,0.0732031,0.0732031,3.48493e-05
0.35,-0.65,0.804447,0.0679968,0.0679968,3.86057e-05
0.35,-0.6,0.813441,0.0624731,0.0624731,3.18945e-05
0.35,-0.55,0.826469,0.0566333,0.0566333,3.57801e-05
0.35,-0.5,0.834,0.0512537,0.0512537,1.91546e-05
0.35,-0.45,0.84364,0.0462903,0.0462903,3.40356e-05
0.35,-0.4,0.852893,0.0413879,0.0413879,2.80321e-05
0.35,-0.35,0.859174,0.0364758,0.0364758,2.55919e-05
0.35,-0.3,0.863408,0.0300854,0.0300854,2.32486e-05
0.35,-0.25,0.869019,0.025271,0.025271,2.61413e-05
0.35,-0.2,0.872047,0.0205164,0.0205164,2.80143e-05
0.35,-0.15,0.877453,0.0156299,0.0156299,3.1034e-05
0.35,-0.1,0.879275,0.00949341,0.00949341,2.78278e-05
0.35,-0.05,0.879476,0.00526367,0.00598633,2.76952e-05
0.35,3.19189e-16,0.878826,-0.000100098,0.00380859,2.9135e-05
0.35,0.05,0.878495,-0.00529663,0.00553101,3.13089e-05
0.35,0.1,0.875692,-0.010874,0.010874,2.50376e-05
